City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,snihurivka,47.0758,32.8052,1.41,76,98,4.37,UA,1708301946
83,punta arenas,-53.15,-70.9167,12.84,76,99,4.74,CL,1708301785
84,takoradi,4.8845,-1.7554,27.29,86,96,2.83,GH,1708301948
85,codrington,-38.2667,141.9667,18.56,68,24,5.21,AU,1708301949
86,vorgashor,67.5833,63.95,-11.89,90,100,8.65,RU,1708301949
87,petropavlovsk-kamchatsky,53.0452,158.6483,-9.67,62,0,4.02,RU,1708301827
88,undurkhaan,47.3194,110.6556,-36.18,96,41,1.85,MN,1708301952
89,tozkhurmato,34.8905,44.6299,10.99,76,7,1.75,IQ,1708301953
90,ginneken,51.5659,4.7931,9.44,93,100,4.12,NL,1708301684
91,broken hill,-31.95,141.4333,30.03,16,0,5.97,AU,1708301955
92,port alfred,-33.5906,26.891,19.54,92,82,0.45,ZA,1708301956
93,wailua homesteads,22.0669,-159.378,24.24,55,20,8.75,US,1708301958
94,achinsk,56.2694,90.4993,-32.67,100,23,0.89,RU,1708301960
95,kisangani,0.5167,25.2,21.07,90,100,1.01,CD,1708301962
96,port lincoln,-34.7333,135.8667,21.96,66,87,5.71,AU,1708301963
97,whitehorse,60.7161,-135.0538,-1.61,63,75,6.17,CA,1708301964
98,hastings,50.8552,0.5729,9.99,46,12,3.64,GB,1708301712
99,kaga bandoro,6.9896,19.1874,26.68,36,100,0.9,CF,1708301967
100,kone,-21.0595,164.8658,31.29,51,2,3.85,NC,1708301968
101,fortuna,40.5982,-124.1573,11.31,95,75,8.75,US,1708301969
102,lihue,21.9789,-159.3672,24.58,54,20,8.75,US,1708301970
103,cockburn town,21.4612,-71.1419,25.86,87,38,7.33,TC,1708301972
104,orbe,46.725,6.5307,10.69,89,100,2.02,CH,1708301973
105,el granada,37.5027,-122.4694,18.43,84,75,12.86,US,1708301974
106,gadzhiyevo,69.2551,33.3362,-6.81,85,81,10.37,RU,1708301975
107,vila franca do campo,37.7167,-25.4333,18.27,99,100,2.64,PT,1708301976
108,badger,64.8,-147.5333,-5.57,67,75,0.0,US,1708301977
109,jamestown,42.097,-79.2353,-0.23,69,100,4.47,US,1708301797
110,la passe,45.5549,-0.8967,11.13,94,100,3.78,FR,1708301979
111,tralee,52.2704,-9.7026,10.55,94,100,4.95,IE,1708301980
112,bilibino,68.0546,166.4372,-23.02,80,95,2.08,RU,1708301981
113,san patricio,28.017,-97.5169,13.97,49,2,1.63,US,1708301982
114,volosovo,59.4333,29.4833,-9.56,96,27,1.8,RU,1708301983
115,ugoofaaru,5.6667,73.0,27.96,74,61,5.4,MV,1708301984
116,cabo san lucas,22.8909,-109.9124,28.17,29,0,4.63,MX,1708301580
117,pisco,-13.7,-76.2167,26.68,78,0,7.72,PE,1708301986
118,tsiombe,-25.3,45.4833,22.93,85,5,6.41,MG,1708301987
119,nar'yan-mar,67.6713,53.087,-12.16,94,99,5.81,RU,1708301988
120,ust-nera,64.5667,143.2,-31.93,95,100,0.81,RU,1708301989
121,nadi,-17.8,177.4167,30.0,74,75,1.03,FJ,1708301991
122,waupun,43.6333,-88.7296,1.06,81,7,1.97,US,1708301992
123,hermanus,-34.4187,19.2345,19.33,75,0,5.68,ZA,1708301993
124,carauari,-4.8828,-66.8958,24.98,97,95,1.12,BR,1708301994
125,cuenca,-2.8833,-78.9833,19.07,52,40,3.6,EC,1708301727
126,jishu,44.3167,126.8,-10.8,87,100,3.99,CN,1708301997
127,charters towers,-20.1,146.2667,27.18,57,100,3.62,AU,1708301998
128,yaren,-0.5472,166.916,28.84,79,95,4.38,NR,1708301999
129,porto velho,-8.7619,-63.9039,26.03,89,40,0.51,BR,1708302001
130,merritt,50.1123,-120.7942,2.4,55,76,0.45,CA,1708302005
131,buala,-8.145,159.5921,30.45,67,79,3.52,SB,1708302006
132,constantia,44.1833,28.65,5.39,73,96,4.45,RO,1708302008
133,west island,-12.1568,96.8225,27.99,78,20,3.09,CC,1708302009
134,birao,10.2849,22.7882,22.31,18,82,2.8,CF,1708302010
135,chabahar,25.2919,60.643,21.61,63,45,10.3,IR,1708302011
136,noosa heads,-26.3833,153.15,28.95,62,30,3.43,AU,1708302012
137,lata,40.1629,-8.3327,13.37,95,68,0.88,PT,1708302013
138,langfang,39.5097,116.6947,-0.39,27,98,7.63,CN,1708302014
139,thompson,55.7435,-97.8558,-19.91,65,75,2.06,CA,1708302015
140,afaahiti,-17.75,-149.2833,30.93,78,100,7.21,PF,1708302016
141,happy valley-goose bay,53.3168,-60.3315,-10.83,85,100,2.57,CA,1708302017
142,sisimiut,66.9395,-53.6735,-14.46,95,99,2.33,GL,1708302018
143,tortoli,39.9256,9.6572,12.9,88,0,5.14,IT,1708302019
144,zyrya,40.3661,50.2917,2.05,53,66,2.03,AZ,1708302020
145,cidreira,-30.1811,-50.2056,23.79,87,1,6.48,BR,1708302022
146,rio grande,-32.035,-52.0986,24.41,89,22,6.75,BR,1708302023
147,atafu village,-8.5421,-172.5159,29.03,80,58,5.84,TK,1708302024
148,lompoc,34.6391,-120.4579,15.43,93,100,8.23,US,1708302025
149,fort mcmurray,56.7268,-111.381,-3.23,50,0,2.57,CA,1708301844
150,annau,37.8876,58.516,-5.28,93,100,4.12,TM,1708302027
151,stanley,54.868,-1.6985,8.49,90,0,5.14,GB,1708302028
152,chimichagua,9.2578,-73.8123,32.99,49,84,0.6,CO,1708302029
153,tete,-16.1564,33.5867,28.05,65,40,2.57,MZ,1708302030
154,camacupa,-12.0167,17.4833,16.98,97,100,1.83,AO,1708302032
155,nizhneudinsk,54.9076,99.0276,-35.07,99,41,0.75,RU,1708302033
156,kupang,-10.1667,123.5833,29.32,94,75,5.14,ID,1708302034
157,qamdo,31.1667,97.2333,-8.52,61,66,3.12,CN,1708302035
158,sitka,57.0531,-135.33,8.94,66,100,0.0,US,1708302036
159,nasipit,8.9692,125.2947,24.66,72,70,2.0,PH,1708302037
160,lubumbashi,-11.6609,27.4794,18.36,98,100,1.48,CD,1708302038
